"","Date","Forecast","Lower CI (95%)","Upper CI (95%)"
"44",2025-02-01,1386875.98951414,1236967.59874626,1536147.28570043
"45",2025-03-01,1328533.3172811,1186729.87597077,1474279.13737876
"46",2025-04-01,1427273.86637419,1277952.17941831,1572788.2179801
"47",2025-05-01,1776480.44701297,1631621.78799457,1912025.79059785
"48",2025-06-01,2130651.97001973,1990999.08670241,2284608.96352145
"49",2025-07-01,2127666.47719023,1978412.65851638,2278206.39088947
"50",2025-08-01,1699322.19437826,1560333.54308556,1848585.61864976
"51",2025-09-01,1443745.90916534,1298601.80685293,1589663.89560809
"52",2025-10-01,1434736.80510785,1287432.59573785,1585321.54360406
"53",2025-11-01,1371574.90785621,1227280.36205091,1510348.03613589
"54",2025-12-01,1303459.45200247,1167843.66263352,1450613.4508059
"55",2026-01-01,1338498.04481808,1192730.01696247,1491358.13213461
